Artist,playcount,listeners
Kanye West,467282974,5192679
The Weeknd,211813713,2238423
Doja Cat,96399064,1128815
Billie Eilish,143750518,1438535
Coldplay,427118876,6083648
Taylor Swift,541852824,3013672
Adele,153707605,3431634
Drake,253758645,4138482
Lil Nas X,45839997,1108028
Ariana Grande,288947357,1905393
"Tyler, the Creator",172712571,1495613
Lana Del Rey,369641099,2547840
Kendrick Lamar,182491962,2160123
Rihanna,249830637,5287464
Olivia Rodrigo,74615559,839318
Arctic Monkeys,407800519,4151373
Frank Ocean,190142708,1882553
Lady Gaga,407108410,4533161
Travis Scott,55663362,782108
Dua Lipa,112531974,1327511
Ed Sheeran,125868217,2292082
Post Malone,91716553,1337413
Radiohead,586598779,5266027
Lorde,144469201,1890629
Gorillaz,222015798,4186865
Bruno Mars,79770517,2550027
Tame Impala,130572770,1767467
The Beatles,604520487,4258892
The Neighbourhood,76223984,1439941
Eminem,257892440,5181177
Katy Perry,206454667,4394224
Mac Miller,108176044,1622923
Queen,236166768,4666518
Harry Styles,75211585,1064822
Justin Bieber,98152452,2327713
Nirvana,266251611,4836780
Childish Gambino,89813252,1534770
Miley Cyrus,122778021,2698193
Elton John,70711816,3052789
A$AP Rocky,86507875,1457940
Paramore,227368313,3034527
The Kid LAROI,29353439,613362
J. Cole,81426100,2106393
Beyoncé,212011335,4162531
Britney Spears,243968475,3846158
Michael Jackson,155824686,4107382
Playboi Carti,103988284,625308
Clairo,38834550,789338
Joji,66109651,849835
Kid Cudi,120906623,3030258
