,Rank,Artist,Title,Millions
0,50,Led Zeppelin ,Led Zeppelin II,12
1,49,Kenny Rogers ,Kenny Rogers' Greatest Hits,12
2,48,Kenny G ,Breathless,12
3,47,Jewel ,Pieces of You,12
4,46,Def Leppard ,Hysteria,12
5,45,Celine Dion ,Falling Into You,12
6,44,Boyz II Men ,II,12
7,43,Bon Jovi ,Slippery When Wet,12
8,42,Whitney Houston ,Whitney Houston,13
9,41,The Chicks ,Wide Open Spaces,13
10,40,Prince & The Revolution ,Purple Rain,13
11,39,Pearl Jam ,Ten,13
12,38,Carole King ,Tapestry,13
13,37,Bruce Springsteen ,Bruce Springsteen & E Street Band Live 1975-'85,13
14,36,Backstreet Boys ,Millennium,13
15,35,Steve Miller Band ,Greatest Hits 1974-1978,14
16,34,Simon & Garfunkel ,Simon & Garfunkel's Greatest Hits,14
17,33,Meat Loaf ,Bat Out of Hell,14
18,32,Garth Brooks ,Ropin' The Wind,14
19,31,Britney Spears ,...Baby One More Time,14
20,30,Backstreet Boys ,Backstreet Boys,14
21,29,Adele ,21,14
22,28,The Beatles ,The Beatles 1962-1966,15
23,27,Santana ,Supernatural,15
24,26,Pink Floyd ,Dark Side of the Moon,15
25,25,Journey ,Greatest Hits,15
26,24,Bruce Springsteen ,Born In The U.S.A.,15
27,23,Bob Marley & The Wailers ,Legend,15
28,22,Metallica ,Metallica,16
29,21,Led Zeppelin ,Physical Graffiti,16
30,20,Bee Gees ,Saturday Night Fever (Soundtrack),15
31,19,Alanis Morisette ,Jagged Little Pill,16
32,18,The Beatles ,The Beatles 1967-1970,17
33,17,Elton John ,Greatest Hits,17
34,16,Boston ,Boston,17
35,15,Whitney Houston ,The Bodyguard (Soundtrack),18
36,14,Guns N' Roses ,Appetite for Destruction,18
37,13,Garth Brooks ,No Fences,18
38,12,Shania Twain ,Come On Over,20
39,11,Fleetwood Mac ,Rumours,20
40,10,Hootie & The Blowfish ,Cracked Rear View,21
41,9,Garth Brooks ,Double Live,21
42,8,Pink Floyd ,The Wall,23
43,7,Led Zeppelin ,Led Zeppelin IV,23
44,6,Billy Joel ,Greatest Hits Volume 1 & Volume 2,23
45,5,The Beatles ,The Beatles (The White Album),24
46,4,AC/DC ,Back In Black,25
47,3,Eagles ,Hotel California,26
48,2,Michael Jackson ,Thriller,34
49,1,Eagles ,Their Greatest Hits (1971-1975),38
